1 - State Name,8 - Structure Number,22 - Owner Agency,CAT29 - Deck Area (sq. ft.),27 - Year Built,43A - Main Span Material,43B - Main Span Design,2014,2015,2016,2017,2018,2019,2020,2021,2022
'Alabama',017388         ,'County Highway Agency',266.84,1969,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',019439         ,'County Highway Agency',400.53,1963,'Steel','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',008418         ,'County Highway Agency',1798,1964,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007833         ,'County Highway Agency',2162.58,1920,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',012555         ,'County Highway Agency',906.11,1981,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Fair','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000954         ,'County Highway Agency',404.72,1932,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',005957         ,'County Highway Agency',1008.9,1957,'Concrete','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',001637         ,'County Highway Agency',1832.88,1937,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000179         ,'County Highway Agency',426.14,1921,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000317         ,'County Highway Agency',787.92,1925,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002187         ,'County Highway Agency',1827.07,1940,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',001529         ,'County Highway Agency',589.86,1937,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',008039         ,'County Highway Agency',2132.33,1963,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',008263         ,'County Highway Agency',8538.47,1964,'Concrete','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000164         ,'County Highway Agency',1497.8,1920,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000167         ,'County Highway Agency',854.44,1920,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000496         ,'City or Municipal Highway Agency',935.06,1928,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',012927         ,'County Highway Agency',757.78,1983,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002409         ,'County Highway Agency',2198.42,1940,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007521         ,'County Highway Agency',740.56,1930,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000138         ,'City or Municipal Highway Agency',682.86,1920,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000206         ,'County Highway Agency',704.5,1922,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',009400         ,'County Highway Agency',656.28,1967,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000166         ,'County Highway Agency',2242.34,1920,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',009681         ,'County Highway Agency',520.97,1968,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',005342         ,'County Highway Agency',866.71,1955,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',001158         ,'County Highway Agency',1923.83,1935,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000734         ,'City or Municipal Highway Agency',1910.59,1930,'Concrete','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',009151         ,'County Highway Agency',597.94,1966,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000202         ,'County Highway Agency',485.24,1922,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004077         ,'County Highway Agency',2915.3,1951,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',001978         ,'State Highway Agency',754.33,1939,'Concrete','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004048         ,'County Highway Agency',2282.06,1951,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002189         ,'County Highway Agency',981.02,1940,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',018386         ,'County Highway Agency',409.03,1960,'Steel','Stringer/Multi-beam or Girder','Poor','Fair','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',018077         ,'County Highway Agency',1083.39,1965,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000870         ,'County Highway Agency',365.65,1930,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007764         ,'County Highway Agency',5005.33,1963,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004880         ,'County Highway Agency',15457.51,1954,'Concrete','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000832         ,'County Highway Agency',1724.49,1930,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',008280         ,'County Highway Agency',2585.06,1964,'Concrete','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007942         ,'County Highway Agency',924.08,1963,'Concrete','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',016026         ,'City or Municipal Highway Agency',1020.74,1990,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',010285         ,'State Highway Agency',4572.29,1970,'Concrete Continuous','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',010286         ,'State Highway Agency',2423.17,1970,'Concrete Continuous','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',018324         ,'County Highway Agency',378.89,1960,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',006337         ,'County Highway Agency',3611.51,1958,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',015627         ,'County Highway Agency',706.76,1975,'Concrete','Slab','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',006112         ,'State Park, Forest, or Reservation Agency',479.96,1958,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007349         ,'County Highway Agency',1410.93,1961,'Concrete','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000152         ,'City or Municipal Highway Agency',29158.79,1920,'Concrete Continuous','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004950         ,'County Highway Agency',949.38,1954,'Steel Continuous','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',020437         ,'City or Municipal Highway Agency',959.93,1936,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',009932         ,'County Highway Agency',1348.5,1969,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',009931         ,'County Highway Agency',806,1969,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',010690         ,'State Highway Agency',8952.77,1972,'Steel Continuous','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000771         ,'County Highway Agency',1695.32,1930,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',010125         ,'County Highway Agency',3971.56,1924,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000833         ,'County Highway Agency',15392.82,1930,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',013580         ,'County Highway Agency',777.58,1985,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',005088         ,'State Highway Agency',24151.85,1955,'Concrete Continuous','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',019818         ,'State Highway Agency',14095.77,1937,'Concrete','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000876         ,'County Highway Agency',5804.33,1931,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000101         ,'County Highway Agency',1240.43,1915,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',008985         ,'State Highway Agency',1838.48,1966,'Concrete Continuous','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',009560         ,'County Highway Agency',1047.01,1968,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004822         ,'County Highway Agency',3349.62,1954,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',013466         ,'County Highway Agency',1855.27,1949,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000865         ,'County Highway Agency',1575.84,1930,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',005879         ,'County Highway Agency',3185.26,1957,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002836         ,'County Highway Agency',1740.52,1945,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004470         ,'County Highway Agency',7994.36,1952,'Concrete','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',013108         ,'County Highway Agency',590.72,1950,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',018614         ,'State Highway Agency',1654.63,1960,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002283         ,'City or Municipal Highway Agency',443.04,1940,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007420         ,'City or Municipal Highway Agency',472.75,1961,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004970         ,'County Highway Agency',1627.83,1954,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007793         ,'County Highway Agency',374.37,1962,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',003673         ,'County Highway Agency',338.52,1950,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',006847         ,'County Highway Agency',518.39,1960,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',001012         ,'County Highway Agency',2059.67,1932,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007029         ,'State Highway Agency',8834.05,1960,'Concrete','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000292         ,'City or Municipal Highway Agency',1310.29,1925,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000176         ,'County Highway Agency',414.2,1921,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',003067         ,'County Highway Agency',706.76,1947,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',016583         ,'County Highway Agency',648.74,1955,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',008873         ,'County Highway Agency',542.5,1965,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',005071         ,'City or Municipal Highway Agency',641.85,1955,'Concrete','Slab','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004541         ,'State Highway Agency',1720.07,1953,'Concrete','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000563         ,'County Highway Agency',1044.31,1928,'Steel','Truss - Thru','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',008846         ,'City or Municipal Highway Agency',589.43,1965,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004874         ,'County Highway Agency',391.81,1954,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',010624         ,'County Highway Agency',644.33,1971,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',002846         ,'County Highway Agency',331.64,1945,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',005392         ,'County Highway Agency',3590.95,1956,'Concrete','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',009478         ,'County Highway Agency',675.11,1900,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',012129         ,'County Highway Agency',944.86,1979,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',005423         ,'County Highway Agency',981.02,1956,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',012128         ,'County Highway Agency',907.18,1979,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',012063         ,'County Highway Agency',738.4,1978,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',012062         ,'County Highway Agency',685.66,1978,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',020464         ,'County Highway Agency',369.2,1978,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',010829         ,'State Highway Agency',2522.2,1925,'Concrete Continuous','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',007436         ,'County Highway Agency',861.54,1961,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',011705         ,'County Highway Agency',938.83,1976,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',011704         ,'County Highway Agency',608.16,1976,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',004886         ,'County Highway Agency',1262.5,1954,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',012291         ,'County Highway Agency',3496.76,1965,'Concrete Continuous','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000264         ,'City or Municipal Highway Agency',722.9,1925,'Concrete Continuous','Slab','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',012243         ,'County Highway Agency',884.36,1906,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',006688         ,'County Highway Agency',479.32,1959,'Concrete','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',020774         ,'County Highway Agency',683.62,1970,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',012890         ,'County Highway Agency',737.33,1960,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',014119         ,'City or Municipal Highway Agency',552.19,1966,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',008764         ,'City or Municipal Highway Agency',1058.52,1965,'Concrete','Channel Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',001270         ,'County Highway Agency',485.88,1935,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',011508         ,'County Highway Agency',1666.68,1975,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',001770         ,'County Highway Agency',333.04,1938,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',009554         ,'City or Municipal Highway Agency',858.21,1968,'Concrete','Culvert','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000438         ,'State Highway Agency',1748.06,1924,'Concrete','Tee Beam','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',000186         ,'County Highway Agency',290.73,1922,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',016646         ,'County Highway Agency',459.62,1965,'Steel','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
'Alabama',013188         ,'County Highway Agency',516.88,1984,'Wood or Timber','Stringer/Multi-beam or Girder','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor','Poor'
